eval_set,a,b,delta,ci_lo,ci_hi,n_better,n
eval-val,mf_L,off,0.25540699907149633,0.2177278822470581,0.29276541986459925,84,95
eval-val,mf_L,protenix_v2_single_seq,0.21078736353459945,0.1698944534976014,0.25167657457140963,73,95
eval-val,mf_L,v2ss,0.2172198327375231,0.17619243096388343,0.25805676867259597,74,95
eval-val,mf_L,mf_L2,0.008420175389908706,-0.0009000207754777512,0.018332573219327238,53,95
eval-val,mf_L,mf_L5,0.041504519431515514,0.021829312017790866,0.06001857995922966,70,95
eval-val,oracle,protenix_v2_msa,0.0005477577240090756,-0.010932116386833194,0.013624263470096492,37,95
eval-val,oracle,mf_L,0.2588988783999359,0.22302674353528276,0.29634677664415987,93,95
eval-val,protenix_v2_msa,mf_L,0.2583511206759269,0.22193678615821844,0.2960827131306103,90,95
eval-test,mf_L,off,0.2553273673358097,0.2312823635436699,0.27972662955212013,192,210
eval-test,mf_L,protenix_v2_single_seq,0.2184478178496329,0.19224074436662533,0.2445755131502632,179,210
eval-test,mf_L,v2ss,0.22492118693472749,0.19852617632764874,0.2509865026960162,182,210
eval-test,mf_L,mf_L2,0.01560375131452378,0.008643664050956398,0.022909167761559202,131,210
eval-test,mf_L,mf_L5,0.06070971380443582,0.04964009714262212,0.07195649942529105,166,210
eval-test,oracle,protenix_v2_msa,0.0005248160421565094,-0.00964870910399304,0.011871050214889208,92,210
eval-test,oracle,mf_L,0.2413222600972855,0.22002260191129294,0.2637123602904275,207,210
eval-test,protenix_v2_msa,mf_L,0.24079744405512896,0.21867606391258473,0.2632423384540958,203,210
eval-denovo,mf_L,off,-0.056948160837101004,-0.11909837254226603,-0.003062850316670046,4,19
eval-denovo,mf_L,protenix_v2_single_seq,-0.060338954050290786,-0.11339616313419747,-0.018664565343677574,6,19
eval-denovo,mf_L,v2ss,-0.05840726895574089,-0.11273065791453933,-0.016237641871014143,4,19
eval-denovo,mf_L,mf_L2,-0.0003204295767582866,-0.04876539555980594,0.048432631489109076,6,19
eval-denovo,mf_L,mf_L5,-0.05065803033094721,-0.11262920569275223,0.0002676516907359274,8,19
eval-denovo,oracle,protenix_v2_msa,0.04172856998954827,0.012322003313717089,0.08441987987912948,16,19
eval-denovo,oracle,mf_L,0.08754978719773378,0.0378702416795471,0.1493382362900144,18,19
eval-denovo,protenix_v2_msa,mf_L,0.04582121720818552,-0.0075849059724468265,0.10423298460799231,11,19
all-natural,mf_L,off,0.2553521706633186,0.2349808589161891,0.27594443349592884,276,305
all-natural,mf_L,protenix_v2_single_seq,0.21606177470232737,0.1941593701464824,0.23820610491953248,252,305
all-natural,mf_L,v2ss,0.2225224044798606,0.20067975389412146,0.24480630107397333,256,305
all-natural,mf_L,mf_L2,0.013366244059315807,0.00781354148781433,0.019172469717070657,184,305
all-natural,mf_L,mf_L5,0.05472776801614916,0.04499314123240553,0.0643272411692824,236,305
all-natural,oracle,protenix_v2_msa,0.0005319618119138661,-0.007553556125160972,0.009303814162569365,129,305
all-natural,oracle,mf_L,0.24679694448663564,0.22844394181875993,0.2658100855795654,300,305
all-natural,protenix_v2_msa,mf_L,0.24626498267472177,0.2273148007074548,0.2655386278149028,293,305
all,mf_L,off,0.23703826233459035,0.2158448868990705,0.25808109285331093,280,324
all,mf_L,protenix_v2_single_seq,0.1998530899915257,0.17798011642591646,0.22164105359082323,258,324
all,mf_L,v2ss,0.20604813350678516,0.1840215979808106,0.22804504836958633,260,324
all,mf_L,mf_L2,0.01256363048189171,0.0066373738085312335,0.01857236607659515,190,324
all,mf_L,mf_L5,0.04854773663159722,0.0384766807881517,0.05850459300314704,244,324
all,oracle,protenix_v2_msa,0.0029478122914665013,-0.004981678713576678,0.011425915146415973,145,324
all,oracle,mf_L,0.2374583766209284,0.2194287425029609,0.25628191411528717,318,324
all,protenix_v2_msa,mf_L,0.2345105643294619,0.21592284230302985,0.25387582437750994,304,324
